# Féminin des substantifs français.

# Codes formation du féminin:
#   -  régulier (en -e)
#   *  id. mais inclus dans les exercices à substantifs irréguliers uniquement
#   N  pas de forme particulière au féminin (article masculin)
#   C  conservant la forme du masculin (mais avec acrticle féminin)
#   R  selon une règle dépendant de la termnaison
#   L  id. mais il y a une liste d'exceptions
#   I  irrégulier
#   M  nom de métier féminisé (féminin avec ou sans -e)
#   P  nom de profession, sans forme particulière au féminin
# Les minuscules indiquent (normalement) qu'il y a 2 formes du féminin

hôtelier                      R
habilleur                     L
hacker                        C
handballeur                   L
historien                     L
hockeyeur                     L
homme-grenouille              I
homme                         I
horloger                      R
horticulteur                  L
humoriste                     -
hypnotiseur                   L
idéologue                     -
idiot                         L
illusionniste                 -
illustrateur                  L
imitateur                     L
imposeur                      L
imprimeur                     L
improvisateur                 L
indicateur                    L
industriel                    R
infirmier                     R
informateur                   L
informaticien                 L
ingénieur                     M
inspecteur                    L
installateur                  L
instituteur                   L
instructeur                   L
intéressé                     -
intérimaire                   -
intellectuel                  R
interlocuteur                 L
intermédiaire                 -
interne                       -
interprète                    -
interrogateur                 L
intervieweur                  L
inventeur                     l
investisseur                  L
jardinier                     R
joaillier                     R
jockey                        C
jongleur                      L
joueur                        L
journaliste                   -
jouvenceau                    R
judoka                        C
juge                          M
juriste                       -
karatéka                      C
kiné                          C
législateur                   L
lépreux                       R
laborantin                    L
laitier                       R
lanceur                       L
Lapon                         L
lauréat                       L
lecteur                       L
libraire                      -
licencié                      -
lieutenant                    -
lion                          L
liquidateur                   L
livreur                       L
locataire                     -
loup                          R
lutteur                       L
Luxembourgeois                -
lycéen                        L
mécanicien                    L
médecin                       m
médiateur                     L
médium                        N
météorologue                  -
maçon                         L
maire                         P
maître                        L
machiniste                    -
magasinier                    R
magicien                      L
magistrat                     M
major                         -
manager                       C
manchot                       L
manifestant                   -
manipulateur                  L
mannequin                     N
maquilleur                    L
maréchal                      -
marathonien                   L
marchand                      -
marcheur                      L
marié                         -
mari                          I
marin                         M
maroquinier                   R
marqueur                      L
marquis                       -
masseur                       L
matelot                       M
mathématicien                 L
mayeur                        L
membre                        N
meneur                        L
