# National capitals of world countries (and dependent territories) with population (data is not for a given year and may actually no more be accurate!).
# Data source: https://en.wikipedia.org/wiki/List_of_national_capitals_by_population

Peru                          Lima                           8,852,000
Philippines                   Manila                         1,780,148
Pitcairn Islands              Adamstown                             56 United Kingdom
Poland                        Warsaw                         1,711,324
Portugal                      Lisbon                           564,657
Puerto Rico                   San Juan                         421,356 United States
Qatar                         Doha                           1,450,000
Romania                       Bucharest                      1,942,254
Russia                        Moscow                        12,506,468
Rwanda                        Kigali                           718,414
Sahrawi                       Tifariti                           3,000
Saint Barthelemy              Gustavia                           6,000 France
Saint Helena                  Jamestown                            714 United Kingdom
Saint Kitts & Nevis           Basseterre                        13,043
Saint Lucia                   Castries                          70,000
Saint Pierre & Miquelon       Saint Pierre                       5,509 France
Samoa                         Apia                              39,813
San Marino                    City of San Marino                 4,493
Sao Tome & Principe           Sao Tome                          56,166
Saudi Arabia                  Riyadh                         7,676,654
Senegal                       Dakar                          1,030,594
Serbia                        Belgrade                       1,154,589
Seychelles                    Victoria                          29,298
Sierra Leone                  Freetown                       1,070,200
Singapore                     Singapore                      5,638,700
Sint Maarten                  Philipsburg                        1,338 Netherlands
Slovakia                      Bratislava                       424,207
Slovenia                      Ljubljana                        280,140
Solomon Islands               Honiara                           59,288
Somalia                       Mogadishu                      1,097,133
South Africa                  Pretoria                       2,345,908
South Korea                   Seoul                          9,838,892
South Sudan                   Juba                             372,410
Spain                         Madrid                         3,266,126
Sri Lanka                     Sri Jayawardenepura Kotte        115,826
St. Vincent & Grenadines      Kingstown                         40,020
State of Palestine            Ramallah                          25,500
Sudan                         Khartoum                       1,840,661
Suriname                      Paramaribo                       254,147
Svalbard                      Longyearbyen                       2,075 Norway
Sweden                        Stockholm                        962,154
Switzerland                   Berne                            121,631
Syria                         Damascus                       3,500,000
Taiwan                        Taipei                         2,668,572
Tajikistan                    Dushanbe                         582,496
Tanzania                      Dodoma                           287,200
Thailand                      Bangkok                        8,305,218
Timor-Leste                   Dili                              59,069
Togo                          Lomé                             824,738
Tokelau                       Atafu                                524 New Zealand
Tonga                         Nukuʻalofa                        22,400
Transnistria                  Tiraspol                         159,163
Trinidad and Tobago           Port of Spain                     50,479
Tunisia                       Tunis                            767,629
Turkey                        Ankara                         5,445,026
Turkmenistan                  Ashgabat                         763,537
Turks and Caicos              Cockburn Town                      3,700 United Kingdom
Tuvalu                        Funafuti                           4,492
U.S. Virgin Islands           Charlotte Amalie                  10,817 United States
Uganda                        Kampala                        1,659,600
Ukraine                       Kyiv                           2,847,200
United Arab Emirates          Abu Dhabi                        585,097
United Kingdom                London                         8,908,081
United States                 Washington                       658,893
Uruguay                       Montevideo                     1,369,797
Uzbekistan                    Tashkent                       2,207,850
Vanuatu                       Port Vila                         38,000
Venezuela                     Caracas                        1,838,939
Vietnam                       Hanoi                          7,781,631
Wallis & Futuna               Mata-Utu                           1,191 France
Yemen                         Sana'a                         1,431,649
Zambia                        Lusaka                         1,331,254
Zimbabwe                      Harare                         1,487,028
Åland                         Mariehamn                         11,296 Finland
